"departamento_id","departamento_nombre","provincia_id","provincia_nombre","año","semanas_epidemiologicas","evento_nombre","grupo_edad_id","grupo_edad_desc","cantidad_casos"
999,"*sin dato*",06,"Buenos Aires",2018,11,"Dengue",10,"De 45 a 64 años",1
35,"Avellaneda",06,"Buenos Aires",2018,7,"Dengue",8,"De 20 a 24 años",1
35,"Avellaneda",06,"Buenos Aires",2018,7,"Dengue",10,"De 45 a 64 años",1
35,"Avellaneda",06,"Buenos Aires",2018,9,"Dengue",6,"De 10 a 14 años",1
35,"Avellaneda",06,"Buenos Aires",2018,9,"Dengue",8,"De 20 a 24 años",1
35,"Avellaneda",06,"Buenos Aires",2018,9,"Dengue",9,"De 25 a 34 años",1
35,"Avellaneda",06,"Buenos Aires",2018,10,"Dengue",8,"De 20 a 24 años",1
35,"Avellaneda",06,"Buenos Aires",2018,10,"Dengue",10,"De 45 a 64 años",1
35,"Avellaneda",06,"Buenos Aires",2018,11,"Dengue",6,"De 10 a 14 años",2
35,"Avellaneda",06,"Buenos Aires",2018,11,"Dengue",8,"De 20 a 24 años",1
35,"Avellaneda",06,"Buenos Aires",2018,11,"Dengue",9,"De 25 a 34 años",1
35,"Avellaneda",06,"Buenos Aires",2018,11,"Dengue",10,"De 45 a 64 años",1
35,"Avellaneda",06,"Buenos Aires",2018,12,"Dengue",6,"De 10 a 14 años",1
35,"Avellaneda",06,"Buenos Aires",2018,12,"Dengue",10,"De 35 a 44 años",2
35,"Avellaneda",06,"Buenos Aires",2018,13,"Dengue",9,"De 25 a 34 años",2
35,"Avellaneda",06,"Buenos Aires",2018,13,"Dengue",10,"De 35 a 44 años",2
35,"Avellaneda",06,"Buenos Aires",2018,13,"Dengue",11,"Mayor o igual de 65 años",1
35,"Avellaneda",06,"Buenos Aires",2018,14,"Dengue",5,"De 5 a 9 años",1
35,"Avellaneda",06,"Buenos Aires",2018,14,"Dengue",6,"De 10 a 14 años",2
35,"Avellaneda",06,"Buenos Aires",2018,14,"Dengue",8,"De 20 a 24 años",1
35,"Avellaneda",06,"Buenos Aires",2018,14,"Dengue",9,"De 25 a 34 años",3
35,"Avellaneda",06,"Buenos Aires",2018,14,"Dengue",10,"De 35 a 44 años",1
35,"Avellaneda",06,"Buenos Aires",2018,14,"Dengue",10,"De 45 a 64 años",2
35,"Avellaneda",06,"Buenos Aires",2018,15,"Dengue",5,"De 5 a 9 años",2
35,"Avellaneda",06,"Buenos Aires",2018,15,"Dengue",9,"De 25 a 34 años",3
